	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	E211	E212	E213	E214	E215	E216	E217	E218	E219	E220	E221	E222	E223	E224	E225	E226	E227	E228	E229	E230	E421	E422	E423	E424	E425	E426	E427	E428	E429	E430	N501	N502	N503	N504	N505	N506	N507	W211	W212	W213	W214	W215	W216	W217	W218	W219	W220	W221	W222	W223	W224	W225	W226	W227	W228	W229	W230	W421	W422	W423	W424	W425	W426	W427	W428	W429	W430
65d43491988bfe557da4d86a5ba25dae	0	0	10	0	8	5	0	4	0	0	0	7	0	0	5	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	8	21	18	46	0	31	0	0	46	0	67	54	189	56	47	27	800	31	11	0	6	15	0	0	0	19	0	30	0	0	6	0	18	116	0	0	0	0	0	6	20	0	0	9	7	0	5
0f9c171ce02ad5c1ee6465c6bcada15f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04ecfad5772d2e09a84a0f5ef460536c	0	126	20	0	0	32	0	3	0	102	0	0	4	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	39	9	20	0	331	0	0	8	0	0	0	0	0	0	0	0	67	17	0	23	25	0	0	23	87	96	55	46	12	0	12	10	0	0	0	0	0	0	56	2	0	55	5	5	18	14
945184b6386c192c0066e0a98a154780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	15	0	39	0	0	11	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	50	0	0	0	66	1021	0	0	0	0	0	0	0	0	0	0	0	0	0
72157e01d951b144c7e9174c09766338	0	0	0	0	24	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	6	0	0	0	0	0	0	0	74	921	69	0	0	0	3	0	10	0	0	0	0	0	59	0	0	0	0	8	0	5	0	0	0	0	22	0	0	0	0	0	0	5	0	0
9b4be26e7bb3a23d25e080a3bba619f6	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	31	0	0	0	0	61	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f8db894a571d35c9d2fa4f8df8581f9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	22	0	0	0	0	0	0	0	0	356	26	0	0	0	0	24	264	0	0	0	50	0	0	0	0	0	0	0	0	34	0	0	0	0	0	26	24	0	0
1ba6254eab38043e3846f084eaef5b41	0	666	0	21	3	138	0	0	0	0	0	0	0	9	0	0	0	0	11	0	3	0	0	0	0	0	230	0	0	7	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
7cf4043de613bf9dd3d79ff22b47799c	0	135	0	38	0	11	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	224	300	40	0	0	0	0	0	13	0	0	0	0	10	0	0	3	0	0	0	0
886813d6c66ef41ef648c9b92ffde619	6	0	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	18	0	10	0	0	7	0	103	55	75	42	23	21	101	7	15	6	0	10	0	0	9	26	13	33	20	0	0	0	6	381	6	0	0	0	0	13	8	0	0	0	0	0	0
