	Id	strain	coCulture	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO_term
s1324	Ps_01605	Ps	coPa	2149.60744749801	1.72221004722305	0.488265793357377	3.53	0.00042	0.019419206350204	ND
s1325	Ps_05709	Ps	coPa	2163.43803468035	1.72531730954011	0.548069115612906	3.15	0.00164	0.043934472983141	ND
s1326	Ps_01854	Ps	coPa	772.178198940483	1.73216905959304	0.460765627968604	3.75932785444461	0.000170370457217	0.010788894388525	ND
s1328	Ps_05708	Ps	coPa	3408.83247500572	1.78014244502328	0.553050861242586	3.22	0.00129	0.039896502812183	ND
s1330	Ps_05712	Ps	coPa	862.044107915546	1.90252789883248	0.593620141076486	3.2	0.00135	0.040566368862331	ND
s1331	Ps_05705	Ps	coPa	891.863021770356	1.93080886993225	0.472022898500389	4.09049831282848	4.30E-05	0.003799676089136	ND
s1332	Ps_05713	Ps	coPa	2953.51717110701	1.99556893129221	0.442216966735545	4.51	6.40E-06	0.001105407261972	ND
s1334	Ps_00609	Ps	coPa	857.719235486215	2.01447214515348	0.399263913743845	5.05	4.52E-07	0.000263579576171	ND
s1335	Ps_01594	Ps	coPa	384.044678078793	2.02440813948369	0.474910768212223	4.26	2.02E-05	0.002101106882073	ND
s1336	Ps_00607	Ps	coPa	2194.92071807574	2.04547595458287	0.458009055850822	4.47	7.97E-06	0.001105407261972	ND
s1337	Ps_05706	Ps	coPa	2713.37218620451	2.07378359967723	0.473542546442861	4.38	1.19E-05	0.001405163301273	ND
s1338	Ps_05704	Ps	coPa	2066.52178058838	2.14061766886105	0.48911512527165	4.38	1.21E-05	0.001405163301273	ND
s1339	Ps_05710	Ps	coPa	1312.74609855475	2.19158712575582	0.487575727695563	4.49	6.96E-06	0.001105407261972	ND
s1341	Ps_05703	Ps	coPa	373.025716484315	2.4179003847224	0.482592076738591	5.01	5.44E-07	0.000263933419037	ND
s1544	Ps_05701	Ps	coEaPa	13366.3269750194	-1.5204408940188	0.279881961545288	-5.43243617996715	5.56E-08	5.40E-07	ND
s1545	Ps_00663	Ps	coEaPa	2561.02576826218	-1.53376071981176	0.241849105795178	-6.34	2.27E-10	4.31E-09	ND
s1546	Ps_01431	Ps	coEaPa	177.42876325747	-1.53391949645109	0.243813870903975	-6.29	3.15E-10	5.78E-09	ND
s1547	Ps_00692	Ps	coEaPa	3631.61508587043	-1.5354080970461	0.348461704825575	-4.41	1.05E-05	5.43E-05	ND
s1548	Ps_03390	Ps	coEaPa	5213.45159780986	-1.53555701917224	0.34510297982294	-4.44956175098829	8.60E-06	4.53E-05	ND
s1549	Ps_02738	Ps	coEaPa	481.044216402455	-1.53716095239852	0.257144500336836	-5.97780994882249	2.26E-09	3.25E-08	ND
s1550	Ps_00753	Ps	coEaPa	145.449403413362	-1.53780286939961	0.318332620230736	-4.83	1.36E-06	9.22E-06	ND
s1551	Ps_02850	Ps	coEaPa	8134.06059616981	-1.54364873963474	0.32815075124057	-4.70408412535701	2.55E-06	1.57E-05	ND
s1552	Ps_05138	Ps	coEaPa	2770.40029670987	-1.54637258940383	0.243250977691092	-6.35710739616262	2.06E-10	3.95E-09	ND
s1553	Ps_01896	Ps	coEaPa	121.212122589793	-1.55915401257927	0.255382006782537	-6.11	1.03E-09	1.65E-08	ND
s1555	Ps_04074	Ps	coEaPa	8781.51253982749	-1.5636810214537	0.410303737281829	-3.81103285047496	0.000138387373544	0.00052309706432	ND
s1558	Ps_04009	Ps	coEaPa	1473.12002121453	-1.57869899091847	0.331135395060053	-4.76753320384904	1.86E-06	1.18E-05	ND
s1559	Ps_04091	Ps	coEaPa	545.172408340311	-1.58768125949621	0.360381529422476	-4.40555669443029	1.06E-05	5.44E-05	ND
s1560	Ps_01413	Ps	coEaPa	1367.48380013224	-1.59160329326467	0.302742334291941	-5.26	1.46E-07	1.29E-06	ND
s1561	Ps_02537	Ps	coEaPa	2109820.08296752	-1.59225090759696	0.330559889638336	-4.82	1.46E-06	9.80E-06	ND
s1562	Ps_04213	Ps	coEaPa	2081.0462464311	-1.59455162632082	0.428102252108477	-3.72469805628768	0.0001955491362	0.000699112244321	ND
s1564	Ps_00670	Ps	coEaPa	558.046180119484	-1.59785110965047	0.243476580933853	-6.56	5.29E-11	1.19E-09	ND
s1566	Ps_00762	Ps	coEaPa	1132.08970021353	-1.60806899345305	0.279945469767451	-5.74	9.23E-09	1.15E-07	ND
s1567	Ps_04079	Ps	coEaPa	664.338864920001	-1.61581843320357	0.363595008984962	-4.44400608719686	8.83E-06	4.64E-05	ND
s1568	Ps_04073	Ps	coEaPa	7984.2889471936	-1.62211567313473	0.472603199456326	-3.43229938984921	0.000598486471746	0.001874224625111	ND
s1569	Ps_04415	Ps	coEaPa	1629.307749191	-1.62224050587524	0.252538455204782	-6.42373655354696	1.33E-10	2.64E-09	ND
s1570	Ps_01614	Ps	coEaPa	172.2078865723	-1.62598789023892	0.33538175725945	-4.85	1.25E-06	8.51E-06	ND
s1572	Ps_03356	Ps	coEaPa	21.3785396118878	-1.63539599752113	0.476790600405223	-3.43000888887324	0.000603561476581	0.001886048403137	ND
s1574	Ps_02687	Ps	coEaPa	441.305992836345	-1.64322321414028	0.306272875605172	-5.36522606154201	8.08E-08	7.58E-07	ND
s1577	Ps_01467	Ps	coEaPa	872.201544049757	-1.66006797092259	0.299097255986066	-5.55	2.85E-08	3.04E-07	ND
s1578	Ps_00436	Ps	coEaPa	2043.31699580893	-1.66281808793404	0.245952840228174	-6.76	1.37E-11	3.56E-10	ND
s1579	Ps_01546	Ps	coEaPa	662.988934202662	-1.66681346722814	0.242628870744301	-6.87	6.43E-12	1.83E-10	ND
s1580	Ps_00427	Ps	coEaPa	707.441148371818	-1.67622107287012	0.273361864188381	-6.13	8.68E-10	1.43E-08	ND
s1582	Ps_05163	Ps	coEaPa	17489.8642481116	-1.68556564787126	0.253314585072241	-6.654041050935	2.85E-11	6.96E-10	ND
s1583	Ps_01789	Ps	coEaPa	246.743070281453	-1.68721036495719	0.451720828532053	-3.74	0.000187660586664	0.000679275165943	ND
s1584	Ps_00507	Ps	coEaPa	39.0690394114678	-1.72201767302718	0.442326566465411	-3.89	9.90E-05	0.000389328148597	ND
s1586	Ps_02680	Ps	coEaPa	4110.37643735814	-1.73852581394248	0.497020874547677	-3.49789295172895	0.000468949318286	0.001510943253034	ND
s1587	Ps_05231	Ps	coEaPa	4.23503948479884	-1.74039532299842	0.672855986121201	-2.58657923671191	0.009693388036108	0.020890798417832	ND
s1588	Ps_03286	Ps	coEaPa	1426.32263458773	-1.74353547344597	0.221159654909445	-7.88360550734205	3.18E-15	1.54E-13	ND
s1589	Ps_05068	Ps	coEaPa	128.201901983961	-1.74373779645464	0.334974306021884	-5.20558671249466	1.93E-07	1.65E-06	ND
s1590	Ps_00875	Ps	coEaPa	175.755775847148	-1.74384537765703	0.364767758999217	-4.78	1.75E-06	1.12E-05	ND
s1592	Ps_05207	Ps	coEaPa	1623.6925079146	-1.75585410269483	0.294011834407484	-5.97205247276309	2.34E-09	3.33E-08	ND
s1593	Ps_05201	Ps	coEaPa	689.442572170766	-1.7760579001818	0.22353912178764	-7.94517704989928	1.94E-15	1.02E-13	ND
s1595	Ps_05571	Ps	coEaPa	24.3827934868824	-1.77689763443614	0.450147610542904	-3.9473665811379	7.90E-05	0.000322165826573	ND
s1596	Ps_00871	Ps	coEaPa	408.406143817752	-1.77795602940369	0.290793962718481	-6.11	9.71E-10	1.59E-08	ND
s1597	Ps_04061	Ps	coEaPa	2734.37182723468	-1.79356342353061	0.256916417976122	-6.98111641778107	2.93E-12	9.04E-11	ND
s1599	Ps_00898	Ps	coEaPa	3816.25045644791	-1.81917745321405	0.518861607368523	-3.51	0.000455	0.001470039675646	ND
s1600	Ps_00501	Ps	coEaPa	785.444114299991	-1.81946016248609	0.290752585712964	-6.26	3.91E-10	7.09E-09	ND
s1601	Ps_03287	Ps	coEaPa	1233.7003549806	-1.82011543339492	0.190081619243599	-9.57544154262678	1.01E-21	1.96E-19	ND
s1602	Ps_01425	Ps	coEaPa	1290.75229632441	-1.82053375323635	0.333086538433567	-5.47	4.61E-08	4.65E-07	ND
s1603	Ps_01907	Ps	coEaPa	477.669060544653	-1.8317439135432	0.445040472308916	-4.12	3.86E-05	0.000172243750151	ND
s1604	Ps_05587	Ps	coEaPa	219.189261425833	-1.845812961942	0.408004351734148	-4.52400312422334	6.07E-06	3.31E-05	ND
s1605	Ps_05702	Ps	coEaPa	6701.8150937949	-1.84591490957452	0.299187524280921	-6.16975896308198	6.84E-10	1.19E-08	ND
s1606	Ps_00744	Ps	coEaPa	843.87449532111	-1.85373379227775	0.326736658136866	-5.67	1.40E-08	1.63E-07	ND
s1607	Ps_04080	Ps	coEaPa	4953.04888393892	-1.8592220958816	0.475704053265269	-3.90835874346615	9.29E-05	0.000370043909582	ND
s1608	Ps_05645	Ps	coEaPa	1466.53203091824	-1.88182399232449	0.317375718048374	-5.92932567083682	3.04E-09	4.18E-08	ND
s1609	Ps_05182	Ps	coEaPa	19.7294148002293	-1.9167061346087	0.521429869454527	-3.67586562813095	0.000237044274362	0.000823836513473	ND
s1610	Ps_00691	Ps	coEaPa	11327.2395473521	-1.91726690496791	0.374086575088064	-5.13	2.97E-07	2.39E-06	ND
s1612	Ps_02749	Ps	coEaPa	1571.67817086758	-1.93630546535624	0.319858314095273	-6.05363493781027	1.42E-09	2.16E-08	ND
s1614	Ps_01492	Ps	coEaPa	146.38491491081	-1.94703211634596	0.291297447986221	-6.68	2.33E-11	5.87E-10	ND
s1617	Ps_04253	Ps	coEaPa	2113.41261285203	-1.97084716109677	0.38456067688031	-5.12493158969079	2.98E-07	2.39E-06	ND
s1619	Ps_04008	Ps	coEaPa	221784.856525455	-1.98381229217037	0.68855652057854	-2.881117574057	0.003962677906326	0.009602382272173	ND
s1620	Ps_02898	Ps	coEaPa	4395.95794897823	-1.99192572861904	0.418780865277528	-4.75648696914311	1.97E-06	1.24E-05	ND
s1621	Ps_00927	Ps	coEaPa	4493.68230199406	-2.01837713585845	0.397263715867857	-5.08	3.76E-07	2.97E-06	ND
s1622	Ps_00589	Ps	coEaPa	416.624729426308	-2.02172935725281	0.356874644402654	-5.67	1.47E-08	1.70E-07	ND
s1623	Ps_01884	Ps	coEaPa	1216.31719374619	-2.02567870856651	0.3374305717908	-6	1.93E-09	2.84E-08	ND
s1624	Ps_05202	Ps	coEaPa	2047.00795117834	-2.03078027689541	0.260631032278458	-7.79178234894811	6.61E-15	2.95E-13	ND
s1625	Ps_04093	Ps	coEaPa	626.458855497325	-2.04654999499095	0.391053056196299	-5.23343306633982	1.66E-07	1.45E-06	ND
s1627	Ps_01713	Ps	coEaPa	1987.78315334043	-2.09405023516337	0.313644817676335	-6.68	2.45E-11	6.12E-10	ND
s1628	Ps_00660	Ps	coEaPa	38.5835290146723	-2.09602905003344	0.450988349999978	-4.65	3.36E-06	1.98E-05	ND
s1629	Ps_04414	Ps	coEaPa	1439.36868455335	-2.11090648915187	0.26705341305128	-7.90443553981664	2.69E-15	1.34E-13	ND
s1632	Ps_04522	Ps	coEaPa	7723.33048950283	-2.13613367092292	0.30983848257288	-6.89434589656067	5.41E-12	1.59E-10	ND
s1633	Ps_02590	Ps	coEaPa	896.550511870189	-2.13966207445091	0.288383269589156	-7.42	1.18E-13	4.49E-12	ND
s1635	Ps_01752	Ps	coEaPa	1195.26833886108	-2.16152193944537	0.423609260758061	-5.1	3.35E-07	2.66E-06	ND
s1636	Ps_01935	Ps	coEaPa	1953.37542623052	-2.16318116718725	0.229690182890391	-9.42	4.61E-21	7.43E-19	ND
s1637	Ps_00763	Ps	coEaPa	300.835583888915	-2.20581432786581	0.292558258753431	-7.54	4.71E-14	1.93E-12	ND
s1638	Ps_03990	Ps	coEaPa	1886.85653555468	-2.20929267395333	0.386076532524338	-5.72242156110345	1.05E-08	1.27E-07	ND
